x_cm,numerical_flux,analytical_flux,residual,normalized_power
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.000000,4.44216960e-03,4.44215215e-03,1.74468337e-08,4.93441357e-02
2.000000,8.87995517e-03,8.87992043e-03,3.47388081e-08,9.86395731e-02
3.000000,1.33089770e-02,1.33089253e-02,5.17224382e-08,1.47837662e-01
4.000000,1.77248641e-02,1.77247959e-02,6.82469762e-08,1.96889849e-01
5.000000,2.21232584e-02,2.21231742e-02,8.41657490e-08,2.45747723e-01
6.000000,2.64998190e-02,2.64997196e-02,9.93374605e-08,2.94363066e-01
7.000000,3.08502267e-02,3.08501131e-02,1.13627445e-07,3.42687900e-01
8.000000,3.51701880e-02,3.51700611e-02,1.26908865e-07,3.90674533e-01
9.000000,3.94554397e-02,3.94553006e-02,1.39063832e-07,4.38275605e-01
10.000000,4.37017524e-02,4.37016024e-02,1.49984458e-07,4.85444140e-01
11.000000,4.79049357e-02,4.79047761e-02,1.59573811e-07,5.32133588e-01
12.000000,5.20608413e-02,5.20606735e-02,1.67746776e-07,5.78297870e-01
13.000000,5.61653678e-02,5.61651933e-02,1.74430807e-07,6.23891427e-01
14.000000,6.02144644e-02,6.02142849e-02,1.79566578e-07,6.68869263e-01
15.000000,6.42041353e-02,6.42039522e-02,1.83108503e-07,7.13186990e-01
16.000000,6.81304430e-02,6.81302580e-02,1.85025144e-07,7.56800872e-01
17.000000,7.19895127e-02,7.19893274e-02,1.85299487e-07,7.99667866e-01
18.000000,7.57775360e-02,7.57773521e-02,1.83929099e-07,8.41745669e-01
19.000000,7.94907745e-02,7.94905936e-02,1.80926142e-07,8.82992754e-01
20.000000,8.31255639e-02,8.31253876e-02,1.76317272e-07,9.23368416e-01
21.000000,8.66783169e-02,8.66781468e-02,1.70143397e-07,9.62832809e-01
22.000000,9.01455276e-02,9.01453651e-02,1.62459316e-07,1.00134699e+00
23.000000,9.35237742e-02,9.35236209e-02,1.53333234e-07,1.03887294e+00
24.000000,9.68097230e-02,9.68095801e-02,1.42846155e-07,1.07537364e+00
25.000000,1.00000131e-01,1.00000000e-01,1.31091162e-07,1.11081307e+00
26.000000,1.03091850e-01,1.03091732e-01,1.18172595e-07,1.14515624e+00
27.000000,1.06081829e-01,1.06081725e-01,1.04205119e-07,1.17836927e+00
28.000000,1.08967117e-01,1.08967028e-01,8.93127096e-08,1.21041939e+00
29.000000,1.11744867e-01,1.11744793e-01,7.36275540e-08,1.24127496e+00
30.000000,1.14412338e-01,1.14412281e-01,5.72888743e-08,1.27090553e+00
31.000000,1.16966897e-01,1.16966857e-01,4.04416939e-08,1.29928187e+00
32.000000,1.19406024e-01,1.19406000e-01,2.32355493e-08,1.32637597e+00
33.000000,1.21727311e-01,1.21727305e-01,5.82316370e-09,1.35216110e+00
34.000000,1.23928468e-01,1.23928479e-01,-1.16409095e-08,1.37661181e+00
35.000000,1.26007322e-01,1.26007351e-01,-2.90016580e-08,1.39970396e+00
36.000000,1.27961823e-01,1.27961869e-01,-4.61049865e-08,1.42141479e+00
37.000000,1.29790041e-01,1.29790104e-01,-6.27990847e-08,1.44172285e+00
38.000000,1.31490173e-01,1.31490252e-01,-7.89357746e-08,1.46060811e+00
39.000000,1.33060540e-01,1.33060634e-01,-9.43718259e-08,1.47805193e+00
40.000000,1.34499593e-01,1.34499702e-01,-1.08970227e-07,1.49403710e+00
41.000000,1.35805913e-01,1.35806035e-01,-1.22601402e-07,1.50854785e+00
42.000000,1.36978209e-01,1.36978344e-01,-1.35144358e-07,1.52156985e+00
43.000000,1.38015326e-01,1.38015472e-01,-1.46487765e-07,1.53309026e+00
44.000000,1.38916239e-01,1.38916395e-01,-1.56530937e-07,1.54309771e+00
45.000000,1.39680059e-01,1.39680225e-01,-1.65184731e-07,1.55158232e+00
46.000000,1.40306034e-01,1.40306207e-01,-1.72372334e-07,1.55853572e+00
47.000000,1.40793545e-01,1.40793723e-01,-1.78029949e-07,1.56395105e+00
48.000000,1.41142111e-01,1.41142293e-01,-1.82107358e-07,1.56782296e+00
49.000000,1.41351389e-01,1.41351573e-01,-1.84568371e-07,1.57014764e+00
50.000000,1.41421171e-01,1.41421356e-01,-1.85391143e-07,1.57092279e+00
51.000000,1.41351389e-01,1.41351573e-01,-1.84568371e-07,1.57014764e+00
52.000000,1.41142111e-01,1.41142293e-01,-1.82107358e-07,1.56782296e+00
53.000000,1.40793545e-01,1.40793723e-01,-1.78029949e-07,1.56395105e+00
54.000000,1.40306034e-01,1.40306207e-01,-1.72372334e-07,1.55853572e+00
55.000000,1.39680059e-01,1.39680225e-01,-1.65184730e-07,1.55158232e+00
56.000000,1.38916239e-01,1.38916395e-01,-1.56530937e-07,1.54309771e+00
57.000000,1.38015326e-01,1.38015472e-01,-1.46487765e-07,1.53309026e+00
58.000000,1.36978209e-01,1.36978344e-01,-1.35144358e-07,1.52156985e+00
59.000000,1.35805913e-01,1.35806035e-01,-1.22601401e-07,1.50854785e+00
60.000000,1.34499593e-01,1.34499702e-01,-1.08970227e-07,1.49403710e+00
61.000000,1.33060540e-01,1.33060634e-01,-9.43718254e-08,1.47805193e+00
62.000000,1.31490173e-01,1.31490252e-01,-7.89357741e-08,1.46060811e+00
63.000000,1.29790041e-01,1.29790104e-01,-6.27990842e-08,1.44172285e+00
64.000000,1.27961823e-01,1.27961869e-01,-4.61049860e-08,1.42141479e+00
65.000000,1.26007322e-01,1.26007351e-01,-2.90016575e-08,1.39970396e+00
66.000000,1.23928468e-01,1.23928479e-01,-1.16409090e-08,1.37661181e+00
67.000000,1.21727311e-01,1.21727305e-01,5.82316426e-09,1.35216110e+00
68.000000,1.19406024e-01,1.19406000e-01,2.32355499e-08,1.32637597e+00
69.000000,1.16966897e-01,1.16966857e-01,4.04416945e-08,1.29928187e+00
70.000000,1.14412338e-01,1.14412281e-01,5.72888749e-08,1.27090553e+00
71.000000,1.11744867e-01,1.11744793e-01,7.36275547e-08,1.24127496e+00
72.000000,1.08967117e-01,1.08967028e-01,8.93127103e-08,1.21041939e+00
73.000000,1.06081829e-01,1.06081725e-01,1.04205119e-07,1.17836927e+00
74.000000,1.03091850e-01,1.03091732e-01,1.18172596e-07,1.14515624e+00
75.000000,1.00000131e-01,1.00000000e-01,1.31091163e-07,1.11081307e+00
76.000000,9.68097230e-02,9.68095801e-02,1.42846155e-07,1.07537364e+00
77.000000,9.35237742e-02,9.35236209e-02,1.53333234e-07,1.03887294e+00
78.000000,9.01455276e-02,9.01453651e-02,1.62459316e-07,1.00134699e+00
79.000000,8.66783169e-02,8.66781468e-02,1.70143397e-07,9.62832809e-01
80.000000,8.31255639e-02,8.31253876e-02,1.76317273e-07,9.23368416e-01
81.000000,7.94907745e-02,7.94905936e-02,1.80926143e-07,8.82992754e-01
82.000000,7.57775360e-02,7.57773521e-02,1.83929099e-07,8.41745669e-01
83.000000,7.19895127e-02,7.19893274e-02,1.85299488e-07,7.99667866e-01
84.000000,6.81304430e-02,6.81302580e-02,1.85025144e-07,7.56800872e-01
85.000000,6.42041353e-02,6.42039522e-02,1.83108504e-07,7.13186990e-01
86.000000,6.02144644e-02,6.02142849e-02,1.79566579e-07,6.68869263e-01
87.000000,5.61653678e-02,5.61651933e-02,1.74430808e-07,6.23891427e-01
88.000000,5.20608413e-02,5.20606735e-02,1.67746776e-07,5.78297870e-01
89.000000,4.79049357e-02,4.79047761e-02,1.59573812e-07,5.32133588e-01
90.000000,4.37017524e-02,4.37016024e-02,1.49984458e-07,4.85444140e-01
91.000000,3.94554397e-02,3.94553006e-02,1.39063832e-07,4.38275605e-01
92.000000,3.51701880e-02,3.51700611e-02,1.26908865e-07,3.90674533e-01
93.000000,3.08502267e-02,3.08501131e-02,1.13627446e-07,3.42687900e-01
94.000000,2.64998190e-02,2.64997196e-02,9.93374607e-08,2.94363066e-01
95.000000,2.21232584e-02,2.21231742e-02,8.41657491e-08,2.45747723e-01
96.000000,1.77248641e-02,1.77247959e-02,6.82469762e-08,1.96889849e-01
97.000000,1.33089770e-02,1.33089253e-02,5.17224383e-08,1.47837662e-01
98.000000,8.87995517e-03,8.87992043e-03,3.47388081e-08,9.86395731e-02
99.000000,4.44216960e-03,4.44215215e-03,1.74468337e-08,4.93441357e-02
100.000000,0.00000000e+00,1.73191211e-17,-1.73191211e-17,0.00000000e+00
