x_cm,flux,normalized_power,region
0.000000,0.00000000e+00,0.00000000e+00,left_reflector
0.500000,1.23464024e-03,0.00000000e+00,left_reflector
1.000000,2.47036987e-03,0.00000000e+00,left_reflector
1.500000,3.70827924e-03,0.00000000e+00,left_reflector
2.000000,4.94946061e-03,0.00000000e+00,left_reflector
2.500000,6.19500916e-03,0.00000000e+00,left_reflector
3.000000,7.44602390e-03,0.00000000e+00,left_reflector
3.500000,8.70360865e-03,0.00000000e+00,left_reflector
4.000000,9.96887306e-03,0.00000000e+00,left_reflector
4.500000,1.12429335e-02,0.00000000e+00,left_reflector
5.000000,1.25269142e-02,0.00000000e+00,left_reflector
5.500000,1.38219481e-02,0.00000000e+00,left_reflector
6.000000,1.51291778e-02,0.00000000e+00,left_reflector
6.500000,1.64497568e-02,0.00000000e+00,left_reflector
7.000000,1.77848503e-02,0.00000000e+00,left_reflector
7.500000,1.91356363e-02,0.00000000e+00,left_reflector
8.000000,2.05033066e-02,0.00000000e+00,left_reflector
8.500000,2.18890681e-02,0.00000000e+00,left_reflector
9.000000,2.32941436e-02,0.00000000e+00,left_reflector
9.500000,2.47197726e-02,0.00000000e+00,left_reflector
10.000000,2.61672132e-02,0.00000000e+00,left_reflector
10.500000,2.76377426e-02,0.00000000e+00,left_reflector
11.000000,2.91326582e-02,0.00000000e+00,left_reflector
11.500000,3.06532791e-02,0.00000000e+00,left_reflector
12.000000,3.22009469e-02,0.00000000e+00,left_reflector
12.500000,3.37770274e-02,0.00000000e+00,left_reflector
13.000000,3.53829112e-02,0.00000000e+00,left_reflector
13.500000,3.70200151e-02,0.00000000e+00,left_reflector
14.000000,3.86897838e-02,0.00000000e+00,left_reflector
14.500000,4.03936905e-02,0.00000000e+00,left_reflector
15.000000,4.21332388e-02,0.00000000e+00,left_reflector
15.500000,4.39099634e-02,0.00000000e+00,left_reflector
16.000000,4.57254321e-02,0.00000000e+00,left_reflector
16.500000,4.75812467e-02,0.00000000e+00,left_reflector
17.000000,4.94790448e-02,0.00000000e+00,left_reflector
17.500000,5.14205009e-02,0.00000000e+00,left_reflector
18.000000,5.34073280e-02,0.00000000e+00,left_reflector
18.500000,5.54412793e-02,0.00000000e+00,left_reflector
19.000000,5.75241493e-02,0.00000000e+00,left_reflector
19.500000,5.96577759e-02,0.00000000e+00,left_reflector
20.000000,6.16846265e-02,2.87379201e-01,left_reflector
20.500000,6.34076952e-02,5.90813427e-01,fuel_core
21.000000,6.49583647e-02,6.05262089e-01,fuel_core
21.500000,6.64971714e-02,6.19600217e-01,fuel_core
22.000000,6.80238344e-02,6.33825194e-01,fuel_core
22.500000,6.95380749e-02,6.47934422e-01,fuel_core
23.000000,7.10396163e-02,6.61925324e-01,fuel_core
23.500000,7.25281845e-02,6.75795345e-01,fuel_core
24.000000,7.40035076e-02,6.89541952e-01,fuel_core
24.500000,7.54653162e-02,7.03162635e-01,fuel_core
25.000000,7.69133433e-02,7.16654907e-01,fuel_core
25.500000,7.83473245e-02,7.30016304e-01,fuel_core
26.000000,7.97669980e-02,7.43244385e-01,fuel_core
26.500000,8.11721044e-02,7.56336736e-01,fuel_core
27.000000,8.25623873e-02,7.69290964e-01,fuel_core
27.500000,8.39375928e-02,7.82104706e-01,fuel_core
28.000000,8.52974696e-02,7.94775621e-01,fuel_core
28.500000,8.66417695e-02,8.07301394e-01,fuel_core
29.000000,8.79702470e-02,8.19679740e-01,fuel_core
29.500000,8.92826596e-02,8.31908397e-01,fuel_core
30.000000,9.05787674e-02,8.43985132e-01,fuel_core
30.500000,9.18583340e-02,8.55907740e-01,fuel_core
31.000000,9.31211256e-02,8.67674045e-01,fuel_core
31.500000,9.43669117e-02,8.79281896e-01,fuel_core
32.000000,9.55954647e-02,8.90729176e-01,fuel_core
32.500000,9.68065603e-02,9.02013793e-01,fuel_core
33.000000,9.79999774e-02,9.13133687e-01,fuel_core
33.500000,9.91754981e-02,9.24086827e-01,fuel_core
34.000000,1.00332908e-01,9.34871214e-01,fuel_core
34.500000,1.01471995e-01,9.45484879e-01,fuel_core
35.000000,1.02592552e-01,9.55925882e-01,fuel_core
35.500000,1.03694373e-01,9.66192318e-01,fuel_core
36.000000,1.04777259e-01,9.76282313e-01,fuel_core
36.500000,1.05841010e-01,9.86194023e-01,fuel_core
37.000000,1.06885434e-01,9.95925639e-01,fuel_core
37.500000,1.07910338e-01,1.00547538e+00,fuel_core
38.000000,1.08915537e-01,1.01484152e+00,fuel_core
38.500000,1.09900846e-01,1.02402232e+00,fuel_core
39.000000,1.10866085e-01,1.03301613e+00,fuel_core
39.500000,1.11811079e-01,1.04182129e+00,fuel_core
40.000000,1.12735654e-01,1.05043620e+00,fuel_core
40.500000,1.13639643e-01,1.05885929e+00,fuel_core
41.000000,1.14522879e-01,1.06708901e+00,fuel_core
41.500000,1.15385202e-01,1.07512387e+00,fuel_core
42.000000,1.16226454e-01,1.08296240e+00,fuel_core
42.500000,1.17046482e-01,1.09060317e+00,fuel_core
43.000000,1.17845136e-01,1.09804478e+00,fuel_core
43.500000,1.18622269e-01,1.10528587e+00,fuel_core
44.000000,1.19377741e-01,1.11232512e+00,fuel_core
44.500000,1.20111413e-01,1.11916126e+00,fuel_core
45.000000,1.20823152e-01,1.12579301e+00,fuel_core
45.500000,1.21512826e-01,1.13221919e+00,fuel_core
46.000000,1.22180311e-01,1.13843861e+00,fuel_core
46.500000,1.22825485e-01,1.14445014e+00,fuel_core
47.000000,1.23448229e-01,1.15025268e+00,fuel_core
47.500000,1.24048431e-01,1.15584517e+00,fuel_core
48.000000,1.24625980e-01,1.16122660e+00,fuel_core
48.500000,1.25180770e-01,1.16639597e+00,fuel_core
49.000000,1.25712702e-01,1.17135234e+00,fuel_core
49.500000,1.26221677e-01,1.17609482e+00,fuel_core
50.000000,1.26707603e-01,1.18062253e+00,fuel_core
50.500000,1.27170391e-01,1.18493464e+00,fuel_core
51.000000,1.27609957e-01,1.18903038e+00,fuel_core
51.500000,1.28026219e-01,1.19290899e+00,fuel_core
52.000000,1.28419103e-01,1.19656976e+00,fuel_core
52.500000,1.28788537e-01,1.20001203e+00,fuel_core
53.000000,1.29134452e-01,1.20323516e+00,fuel_core
53.500000,1.29456787e-01,1.20623857e+00,fuel_core
54.000000,1.29755481e-01,1.20902172e+00,fuel_core
54.500000,1.30030481e-01,1.21158408e+00,fuel_core
55.000000,1.30281737e-01,1.21392520e+00,fuel_core
55.500000,1.30509202e-01,1.21604465e+00,fuel_core
56.000000,1.30712834e-01,1.21794204e+00,fuel_core
56.500000,1.30892598e-01,1.21961702e+00,fuel_core
57.000000,1.31048459e-01,1.22106929e+00,fuel_core
57.500000,1.31180390e-01,1.22229858e+00,fuel_core
58.000000,1.31288367e-01,1.22330467e+00,fuel_core
58.500000,1.31372369e-01,1.22408738e+00,fuel_core
59.000000,1.31432381e-01,1.22464656e+00,fuel_core
59.500000,1.31468393e-01,1.22498211e+00,fuel_core
60.000000,1.31480398e-01,1.22509396e+00,fuel_core
60.500000,1.31468393e-01,1.22498211e+00,fuel_core
61.000000,1.31432381e-01,1.22464656e+00,fuel_core
61.500000,1.31372369e-01,1.22408738e+00,fuel_core
62.000000,1.31288367e-01,1.22330467e+00,fuel_core
62.500000,1.31180390e-01,1.22229858e+00,fuel_core
63.000000,1.31048459e-01,1.22106929e+00,fuel_core
63.500000,1.30892598e-01,1.21961702e+00,fuel_core
64.000000,1.30712834e-01,1.21794204e+00,fuel_core
64.500000,1.30509202e-01,1.21604465e+00,fuel_core
65.000000,1.30281737e-01,1.21392520e+00,fuel_core
65.500000,1.30030481e-01,1.21158408e+00,fuel_core
66.000000,1.29755481e-01,1.20902172e+00,fuel_core
66.500000,1.29456787e-01,1.20623857e+00,fuel_core
67.000000,1.29134452e-01,1.20323516e+00,fuel_core
67.500000,1.28788537e-01,1.20001203e+00,fuel_core
68.000000,1.28419103e-01,1.19656976e+00,fuel_core
68.500000,1.28026219e-01,1.19290899e+00,fuel_core
69.000000,1.27609957e-01,1.18903038e+00,fuel_core
69.500000,1.27170391e-01,1.18493464e+00,fuel_core
70.000000,1.26707603e-01,1.18062253e+00,fuel_core
70.500000,1.26221677e-01,1.17609482e+00,fuel_core
71.000000,1.25712702e-01,1.17135234e+00,fuel_core
71.500000,1.25180770e-01,1.16639597e+00,fuel_core
72.000000,1.24625980e-01,1.16122660e+00,fuel_core
72.500000,1.24048431e-01,1.15584517e+00,fuel_core
73.000000,1.23448229e-01,1.15025268e+00,fuel_core
73.500000,1.22825485e-01,1.14445014e+00,fuel_core
74.000000,1.22180311e-01,1.13843861e+00,fuel_core
74.500000,1.21512826e-01,1.13221919e+00,fuel_core
75.000000,1.20823152e-01,1.12579301e+00,fuel_core
75.500000,1.20111413e-01,1.11916126e+00,fuel_core
76.000000,1.19377741e-01,1.11232512e+00,fuel_core
76.500000,1.18622269e-01,1.10528587e+00,fuel_core
77.000000,1.17845136e-01,1.09804478e+00,fuel_core
77.500000,1.17046482e-01,1.09060317e+00,fuel_core
78.000000,1.16226454e-01,1.08296240e+00,fuel_core
78.500000,1.15385202e-01,1.07512387e+00,fuel_core
79.000000,1.14522879e-01,1.06708901e+00,fuel_core
79.500000,1.13639643e-01,1.05885929e+00,fuel_core
80.000000,1.12735654e-01,1.05043620e+00,fuel_core
80.500000,1.11811079e-01,1.04182129e+00,fuel_core
81.000000,1.10866085e-01,1.03301613e+00,fuel_core
81.500000,1.09900846e-01,1.02402232e+00,fuel_core
82.000000,1.08915537e-01,1.01484152e+00,fuel_core
82.500000,1.07910338e-01,1.00547538e+00,fuel_core
83.000000,1.06885434e-01,9.95925639e-01,fuel_core
83.500000,1.05841010e-01,9.86194023e-01,fuel_core
84.000000,1.04777259e-01,9.76282313e-01,fuel_core
84.500000,1.03694373e-01,9.66192318e-01,fuel_core
85.000000,1.02592552e-01,9.55925882e-01,fuel_core
85.500000,1.01471995e-01,9.45484879e-01,fuel_core
86.000000,1.00332908e-01,9.34871214e-01,fuel_core
86.500000,9.91754981e-02,9.24086827e-01,fuel_core
87.000000,9.79999774e-02,9.13133687e-01,fuel_core
87.500000,9.68065603e-02,9.02013793e-01,fuel_core
88.000000,9.55954647e-02,8.90729176e-01,fuel_core
88.500000,9.43669117e-02,8.79281896e-01,fuel_core
89.000000,9.31211256e-02,8.67674045e-01,fuel_core
89.500000,9.18583340e-02,8.55907740e-01,fuel_core
90.000000,9.05787674e-02,8.43985132e-01,fuel_core
90.500000,8.92826596e-02,8.31908397e-01,fuel_core
91.000000,8.79702470e-02,8.19679740e-01,fuel_core
91.500000,8.66417695e-02,8.07301394e-01,fuel_core
92.000000,8.52974696e-02,7.94775621e-01,fuel_core
92.500000,8.39375928e-02,7.82104706e-01,fuel_core
93.000000,8.25623873e-02,7.69290964e-01,fuel_core
93.500000,8.11721044e-02,7.56336736e-01,fuel_core
94.000000,7.97669980e-02,7.43244385e-01,fuel_core
94.500000,7.83473245e-02,7.30016304e-01,fuel_core
95.000000,7.69133433e-02,7.16654907e-01,fuel_core
95.500000,7.54653162e-02,7.03162635e-01,fuel_core
96.000000,7.40035076e-02,6.89541952e-01,fuel_core
96.500000,7.25281845e-02,6.75795345e-01,fuel_core
97.000000,7.10396163e-02,6.61925324e-01,fuel_core
97.500000,6.95380749e-02,6.47934422e-01,fuel_core
98.000000,6.80238344e-02,6.33825194e-01,fuel_core
98.500000,6.64971714e-02,6.19600217e-01,fuel_core
99.000000,6.49583647e-02,6.05262089e-01,fuel_core
99.500000,6.34076952e-02,5.90813427e-01,fuel_core
100.000000,6.16846265e-02,2.87379201e-01,fuel_core
100.500000,5.96577759e-02,0.00000000e+00,right_reflector
101.000000,5.75241493e-02,0.00000000e+00,right_reflector
101.500000,5.54412793e-02,0.00000000e+00,right_reflector
102.000000,5.34073280e-02,0.00000000e+00,right_reflector
102.500000,5.14205009e-02,0.00000000e+00,right_reflector
103.000000,4.94790448e-02,0.00000000e+00,right_reflector
103.500000,4.75812467e-02,0.00000000e+00,right_reflector
104.000000,4.57254321e-02,0.00000000e+00,right_reflector
104.500000,4.39099634e-02,0.00000000e+00,right_reflector
105.000000,4.21332388e-02,0.00000000e+00,right_reflector
105.500000,4.03936905e-02,0.00000000e+00,right_reflector
106.000000,3.86897838e-02,0.00000000e+00,right_reflector
106.500000,3.70200151e-02,0.00000000e+00,right_reflector
107.000000,3.53829112e-02,0.00000000e+00,right_reflector
107.500000,3.37770274e-02,0.00000000e+00,right_reflector
108.000000,3.22009469e-02,0.00000000e+00,right_reflector
108.500000,3.06532791e-02,0.00000000e+00,right_reflector
109.000000,2.91326582e-02,0.00000000e+00,right_reflector
109.500000,2.76377426e-02,0.00000000e+00,right_reflector
110.000000,2.61672132e-02,0.00000000e+00,right_reflector
110.500000,2.47197726e-02,0.00000000e+00,right_reflector
111.000000,2.32941436e-02,0.00000000e+00,right_reflector
111.500000,2.18890681e-02,0.00000000e+00,right_reflector
112.000000,2.05033066e-02,0.00000000e+00,right_reflector
112.500000,1.91356363e-02,0.00000000e+00,right_reflector
113.000000,1.77848503e-02,0.00000000e+00,right_reflector
113.500000,1.64497568e-02,0.00000000e+00,right_reflector
114.000000,1.51291778e-02,0.00000000e+00,right_reflector
114.500000,1.38219481e-02,0.00000000e+00,right_reflector
115.000000,1.25269142e-02,0.00000000e+00,right_reflector
115.500000,1.12429335e-02,0.00000000e+00,right_reflector
116.000000,9.96887306e-03,0.00000000e+00,right_reflector
116.500000,8.70360865e-03,0.00000000e+00,right_reflector
117.000000,7.44602390e-03,0.00000000e+00,right_reflector
117.500000,6.19500916e-03,0.00000000e+00,right_reflector
118.000000,4.94946061e-03,0.00000000e+00,right_reflector
118.500000,3.70827924e-03,0.00000000e+00,right_reflector
119.000000,2.47036987e-03,0.00000000e+00,right_reflector
119.500000,1.23464024e-03,0.00000000e+00,right_reflector
120.000000,0.00000000e+00,0.00000000e+00,right_reflector
