parameter,value,keff
length,30.0,0.80735465
length,50.0,1.04394952
length,75.0,1.14918994
length,100.0,1.19122027
length,150.0,1.22317462
length,200.0,1.23476751
length,300.0,1.24318363
sigma_a,0.01,2.27544132
sigma_a,0.015,1.56378222
sigma_a,0.02,1.19122027
sigma_a,0.025,0.96202366
sigma_a,0.03,0.80679287
sigma_a,0.035,0.69469743
D,0.5,1.21990219
D,0.8,1.20252966
D,1.0,1.19122027
D,1.2,1.18012153
D,1.5,1.16385596
D,2.0,1.13772058
nu_sigma_f,0.018,0.85767854
nu_sigma_f,0.02,0.95297615
nu_sigma_f,0.022,1.04827377
nu_sigma_f,0.025,1.19122027
nu_sigma_f,0.028,1.33416670
nu_sigma_f,0.032,1.52476194
